movieName;Metascore_w;Author;Summary;Sentiment;Abs_Increase
the-matrix;10;AoKuroiRaccoon;"[ ""Amazing, definitely a timeless masterpiece. Some of the utmost original storylines of science-fiction genre, introducing a brilliant and new reality that will break with all the standards and blow away your mind. The perfect combination between action scenes that will keep you on the edge of your seat and reflective dialogues concerning the movie's very deep theme. Additionally, the technical production is astonishing with very good graphic special effects that form an unbelievably awesome visual appeal. Truly a must-watch production that will not leave you unchanged."" ]";0.3919004329004329;
inside-out-2015;9;lasttimeisaw;"[ ""Pixar’s latest offer is an absolutely worthwhile adventure for adults and teenagers alike (certainly not for toddlers though), makes further efforts to forever change the existential territory of animation feature, it is our generation’s great blessing to have Pixar continuously giving life to such master-class animations, which defy the temptation of huge profits from low-hanging fruits, as DESPICABLE ME series and its spin-off THE MINIONS (2015) unblushingly cashes in on."", """", ""keep reading my review on my blog, please google: cinema omnivore, thanks!"" ]";0.2928571428571429;
mr-turner;8;lasttimeisaw;"[ ""Mike Leigh’s newest endeavour is a two-and-a-half hours long biographic film about British painter J.M.W. Turner (1775-1851), a watercolour landscape painting maestro, the film chronically narrates the last quarter of Turner’s life, stars Leigh’s longtime teammate Timothy Spall in an once-in-a-blue-moon leading role which won him BEST ACTOR in Cannes last year."", """", ""Unequivocally this film is second to none if it can be crowned as the most beautiful film of 2014, artistically enthralling  thanks to the utterly breathtaking cinematography of DP Dick Pope, which concisely tallies with Turner’s own persistent study on light and colour, and viewers can get a peek of his relentless thirst from the magnet experiment conducted by Ms. Somerville (a brilliant cameo by Lesley Manville), or later his piqued interest of the daguerreotype technique, mocks every painter would take a camera with him; also his valour as a true artist, dares a face-to-face encounter with a rough tempest on the sea, just to observe its colour. And the most memorable one is when Leigh and Spall re-enact the action of Turner purposefully adding a wanton brush of red on his own work, instead of blemishing a masterpiece, he turns it into a wonder by his master stroke which stuns all his fellow artists in the academy."", """", ""keep reading my review on my blog, google: cinema omnivore, thanks"" ]";0.31875000000000003;
locke;6;lasttimeisaw;"[ ""This is Tom Hardy's one-man-show, in a literary sense, the entire film is exclusively shot in a car while he is driving to London at night, and taking successive phone calls (thanks to the convenient Bluetooth technology) and trying to keep his life from tearing apart. And it is all because that he believes he is correcting his wrongs by making the right choice, even the risk is that he will lose everything he has, a well-paid job, a rosy career and a perfect family."", ""continue reading my review on my blog: google cinema omnivore, thanks"" ]";0.2976190476190476;
the-lunchbox;7;lasttimeisaw;"[ ""Rarely an Indian film without its trademark dancing-and-singing routines, director/writer Ritesh Batra’s feature debut marvellously utilises the exotic “dabbawalas” system of Mumbai, which is an intricate lunch delivery service to people at work from their their homes or restaurants and is remarkable for its accuracy, but Batra fictionalises a little mix-up of the system and links two strangers  into an epistolary communication, and from there, their penfriend-ship will further sublimate into something more genuine and profound."", """", ""keep reading my review on my blog, please google: cinema omnivore, thanks!"" ]";0.28842592592592603;
enemy;8;lasttimeisaw;"[ ""ENEMY is Denis Villeneuve’s back-to-back psychological drama with PRISONER (2013, 8/10), treads the water of a doppelgänger sub-genre, it is a neatly gripping head-scratcher hoisted by its jaw-dropping anti-climax (literally the flabbergasted final scene), and confidently beckons for repeated viewings, running succinctly within 90 minutes, Villeneuve knows how to play his game perfectly."", """", ""continue reading my review on my blog: google cinema omnivore, thanks"" ]";0.2571428571428572;
philomena;9;lasttimeisaw;"[ ""Stephen Frears’ most recent project PHILOMENA is nominated for four Oscars including BEST PICTURE and BEST LEADING ACTRESS for Dame Judi Dench (her 7th nomination, only if she could have been active on big screen from the outset of her career, she would give Meryl Streep a good run for her money of her 18 acting nominations record, now the task falls upon her fellow thespians Kate Winslet or Cate Blanchett, both garner 6 so far)."", """", ""read rest of the review on my blog, google cinema omnivore."" ]";0.31666666666666665;
the-descendants;8;lasttimeisaw;"[ ""After an unmerited winning an Oscar for supporting actor in SYRIANA (2005), George Clooney has been radiating his acting prowess since then alongside his director ambitions. After two nominated leading performances in MICHAEL CLAYTON (2007) and UP IN THE AIR (2009), I am ambivalent to judge if he is able to manage another stretch to bag another Oscar nomination seeing that he is not as multi-faceted as Jack Nicholson or DeNiro. THE DESCENDANTS is Alexander Payneâ"" ]";0.3125;
the-iron-lady;7;lasttimeisaw;"[ ""An impeccable mimicry equals the paramount achievement of acting? I often doubt this proposition, for this film, my almost-zero background information allows me to perceive Margaret Thatcher as a total outsider and I would be conveyed by the film (chiefly Meryl Streep's performance) to get to know the legendary lady without a prejudiced first expression (which is a nearly impenetrable task for a human being and I tried my best)."", ""One magnificent spectacle was the entire room was fully-packed in the multiplex I attended, the first time ever after AVATAR (2009) for me. So the post-Oscar phenomenon again instantly shows its impact on moviegoers, an elderly-skewed one at least. The film is not quite qualified to be called captivating, all the segmental paragraphs are too brief to take on the conceptual process of outlining a concrete personage which lives up to audienceâ"" ]";0.29375;
the-savages;8;lasttimeisaw;"[ ""Tamara Jenkins' breakthrough indie drama-comedy THE SAVAGES, surprisingly captured 2 Oscar nominations back in 2008 , one for the unmistakably excellent Laura Linney and a BEST ORIGINAL SCREENPLAY nomination for herself,  so freshly coined as an Oscar nominee and subsequently granted the membership of the academy , allegedly her next project should be on the horizon at any time, nevertheless, as a telling manifest of the shameful situation of female directors in the movie industry, 8 years has passed, we still have no news of Tamara’s follow-up to her excellent work, a life-affirming dissection of the worst-case scenario for (almost) every grown-up - how to fulfil our responsibility, when we must become the caretaker of our ageing parents during their last days."", """", ""keep reading my review on my blog, please google: cinema omnivore, thanks"" ]";0.3196428571428572;
her-majesty-mrs-brown;6;lasttimeisaw;"[ ""I don't want to be slanted towards any film labelled awards-crowned, which would be a surefire guarantee that it is better than average, even though it stars one of my all-time favorite actresses Dame Judi Dench and it is one of her premier glare. HMMB is a British period film from John Madden (whose SHAKESPEARE IN LOVE 1998 would upset the Oscar ceremony in 1999 and honor Ms. Denchâ"" ]";0.27;
fatal-attraction;6;lasttimeisaw;"[ ""I made a promise to watch more Oscar-nominated performances from Glenn Close after ALBERT NOBBS (2011), the first one is this notoriously famous thriller-drama from the genre hotshot Adrian Lyne. The narrative is straightforward and rather inevitable. First of all, the film never fail to keep the appearance engaging and captivating while bypassing a severe flaw in its avowed mantra, it always takes two persons to exert an immoral affair, but eventually the punishment usually always falls on the woman, even grants a pretext of psychopath, a tacky happy ending does fling an anticlimax and one might find himself stuck in a moot situation, who we should feel more sympathetic? So, the moral support is preferably unstable, the film fulfills an educational motive and emblematizes itself as an immaculate prototype of monogamic conformity and a wake-up call to warn all the horny married-man. However the real gem lies in the sterling cast, which has been against all odds to generate a great deal of fidelity to stimulate the flares of lust, possession and destruction (frilled with a somewhat pretentious family value). Close and Archer both received their Oscar nominations, Lyneâ"" ]";0.3069444444444445;
quiz-show;7;lasttimeisaw;"[ ""QUIZ SHOW is a BEST PICTURE nominee of Oscar Race of 1994, the fourth film with Robert Redford at the helm, and earned him a second Oscar nomination for BEST DIRECTOR, but overtly its popularity has waned compared with its more esteemed fellow nominees (FORREST GUMP 9/10; THE SHAWNSHANK REDEMPTION 8/10; PULP FICTION 9/10 and even FOUR WEDDINGS AND A FUNERAL 7/10)."", """", ""The authentic case of a young lawyer takes on a lawsuit case against the television chicanery has its general appeal together with its well-crafted characterization of the disparaging facets of the people who are implicated, the film runs smoothly to warrant a step-by-step incitement of moral inclination (either towards the contestants or the industry upper-echelon"" ]";0.2863636363636364;
the-neverending-story;4;lasttimeisaw;"[ ""I am genuinely underwhelmed by this film, and to tell the truth many adventurous family fantasy films from past decades nearly live up to their fame, the most notorious one is THE PRINCESS BRIDE (1987), and now TNS is another competent contender (the first three STAR WARS are the scarce exceptions). The film is Petersenâ"" ]";0.3170454545454545;
amadeus;9;lasttimeisaw;"[ ""From the most important contemporary Czech director Milos Forman, whose sole work I have watched before is THE PEOPLE VS. LARRY FLYNT (1996, an 8/10) and he has gotten hold of two Oscar wins for BEST DIRECTOR, one for this film and another one for ONE FLEW OVER THE CUCKOO"" ]";0.3944444444444444;
the-heat;6;lasttimeisaw;"[ ""Sandy B is back in the saddle as an all-powering comedienne alongside her Oscar-friendly intrepid astronaut in GRAVITY (2013, 9/10), in THE HEAT, she plays Ashburn, an F.B.I. agent, a divorced career woman and even more strait-laced than Grace Hart in MISS CONGENIALITY series, directed by Paul Feig who has brought us the sleeper-hit comedy BRIDESMAIDS (2011, 7/10), which has ricocheted the scene-stealer Melissa McCarthy onto a rarefied leading actress status in the primarily male-domineering comedy branch, who has successfully discharged a one-two punch in the domestic box-office last year with generous profits, this one and the critics-panned IDENTITY THIEF (2013)."", """", ""read rest of the review on my blog, google cinema omnivore"" ]";0.275;
nebraska;8;lasttimeisaw;"[ ""Alexander Paynes’ heartwarming father-son road trip (with mother and another son join then quit in the midway) in his home state, saturated in a nostalgic black-and-white monochrome, NEBRASKA is sophisticated witty and charismatically affecting, comfortably sits in the niche of Payne’s outstanding wheelhouse."", """", ""continue reading my review on my blog: google cinema omnivore, thanks"" ]";0.26666666666666666;
the-amazing-spider-man-2;6;lasttimeisaw;"[ ""My latest cinema-going of a 3D spectacle of the second chapter of the Amazing Spider-Man, whereas its first instalment THE AMAZING SPIDER-MAN (2012, 6/10), a reboot of Sam Raimi’s sensational SPIDER-MAN trilogy, is a hit-or-miss in general, but the Garfield and Stone pair does stand out with their affable affinity and spontaneous chemistry, so when it is time for Stone’s Gwen Stacy to take a bow and exit the franchise, as fans know it from the start, her fate is presaged by the comic books,"", """", ""read rest of the review on my blog, google cinema omnivore."" ]";0.43166666666666653;
american-sniper;7;lasttimeisaw;"[ ""Amid its unanticipated parade into this year’s Oscar race (6 nominations including BEST PICTURE and BEST LEADING ACTOR) as an extremely late contender, and more astonishingly, its domestic box-office outburst since last week, Mr. Eastwood’s biography of Chris Kyle, the most prolific Navy SEAL sniper, arrives to the fore in Egypt."", """", ""The film stirs a massive controversy in the states albeit it has achieved a career peak for the octogenarian film legend, as there is a pungent odour of jingoism permeating the narrative, particularly centres on its defamatory depiction of Muslin race in the Iraqi war zone, what is exacerbating is that under the current international circumstances, it doesn’t help to dissipate the acute prejudice in the stateside, pitifully, Eastwood could not been more open-minded in his well-executed anti-war drama."", """", ""keep reading my review on my blog, google: cinema omnivore, thanks"" ]";0.2833333333333334;
jurassic-world;7;lasttimeisaw;"[ ""I am on my vacation in Croatia, but cannot resist the temptation to visit a local multiplex  and watch this box-office record-shattering blockbuster, now has officially revitalised the JURASSIC PARK franchise, it brings back the nostalgic audience who has welcomed and impressed by the first tent-pole came out exactly 22 years ago with umpteen salutes, and competently revamps the visual spectacle to win over new audience. Director Colin Trevorrow and his team has accomplished a quite impressive job!"", """", ""keep reading my review on my blog, please google: cinema omnivore, thanks!"" ]";0.29895104895104896;
inception;10;Scamp4553;"[ ""Inception is the kind of movie that should be recognized as a classic. Creative set pieces, intense action, and wonderful music, all mixed with a one of the most interesting and original concepts in years, all by a director who is the Stanley Kubrick of his time."" ]";0.39416666666666667;
gravity;10;Scamp4553;"[ ""Hands down the best movie of 2013. Gravity is a creative and gripping survival film in space, featuring excellent cinematography, intense emotion, scenes that will leave you on the edge of your seat, and well-acting that should get noticed. People, if there's one movie that should sweep the Golden Globes and the Academy Awards, it's Gravity."" ]";0.4777777777777778;
neighbors;6;sanyrub;"[ ""Very funny movie with a pretty original premise. You´ll sure laugh with it and enjoy the ride. The best thing are the actors involved, with Rose Byrne showing her great comedic skills, and also Zac Efron (I´m liking him more and more, who would have thought?), Seth Rogen and Dave Franco."" ]";0.5045454545454545;
sunshine;7;sanyrub;"[ ""Very intriguing film that for some reason has gone under the radar. The visuals a strong, it has a great atmosphere, the idea is fascinating and you really get involved in the events and story. It even has horror elements (although those seem to be the ones some people have issues with). Great sci-fi experience with good performances and thrilling moments. See it!"" ]";0.5419791666666667;
children-of-men;8;sanyrub;"[ ""Awesome film. The idea is very interesting and you are in from minute one. Every character is there for a reason you keep finding as the movie goes on. Great cinematography. There is an action sequence towads the end that it is a 10 out of 10. Actors do their job nicely. So well done you feel the characters. Entertaiment plus quality. If only most successful films could be like this..."" ]";0.55;
spy;7;sanyrub;"[ ""The best comedy of 2015. Surprisingly funny while still having a pretty interesting comedic plot. In my opinion it outperforms the over praised Kingsman from earlier this year (which was really good too). Good characters, good scenery and Melissa doing her thing. It has not benefited from the actress´ previous films, which were not too good and probably turned some people off, which ended making this film not that successful. But it´s a great comedy with a lot going on."" ]";0.5152777777777778;
happy-feet;7;18jcrone;"[ ""I kind of liked this movie, I liked the animation it was kind of realistic in a way and it tells a pretty decent story and uses some live action to make it more realistic, the voice acting is decent also but the penguins singing and dancing was annoying to me and it may be annoying to other viewers."" ]";0.14550189393939394;
knowing;4;Jimbei;"[ ""The basic idea of these students which put their drawings of the future in a time capsule, the way Cage understands what the numbers mean, the first disasters.. This is really good. But I would call the whole part of the aliens/angels  \""inappropriate\"". Too much confusion. I needed Internet to understand all, and a film who doesn't explain to the viewer all that he needs is not a good film. Don't miss about 120 minutes of your lives."" ]";0.08593749999999999;
2012;6;Jimbei;"[ ""I like this. Not the best catastrophic film but good special effects, good acting and the plot is good, too. It's not simple to make a catastrophic film without making it seems stupid or unreal. This is unreal in some moments (first of all the protagonists are too lucky) but i like that they tried to give a sense to the facts that happen."" ]";0.3240476190476191;
the-perks-of-being-a-wallflower;9;Jimbei;"[ ""Dads will find this boring and moms will find this touching. But only teenagers can completely understand this film. There's a bit of confusion in some points but this film is like a rainbow, it has all the colours of a teenager's life. It's funny, moving, dramatic.. But first of all is real, it talks about real things that can happen to everyone. Outstanding performances by some actors, too. And good music!"" ]";0.13106060606060607;
midnight-in-paris;10;PvtJackson;"[ ""\""Midnight in Paris\"" is a profound, romantic tale of an unforgettable experience in the most beautiful city of the world at night. A man suddenly finds himself given a chance to talk to the world's most prominent artists, writers and directors, and literally only him can have this one-of-a-kind opportunity, which not only changes his outlook on both his life and everything around him but also explores the beauty and value of realistic life that differs greatly from the bygones. This is a spectacular, wonderful motion picture by Woody Allen about the breathtaking nightlife in Paris supported by a talented star-studded cast."" ]";0.46875;
minority-report;10;PvtJackson;"[ ""This is the most thrilling science-fiction movie I have ever watched that is directed by Steven Spielberg. With excellent plot, combined with absolutely professional and successful performances of the cast, Minority Report is an amazing film which reminds me of other impressive ones such as Rian Johnson's Looper or Christopher Nolan's Inception. I definitely recommend this one"" ]";0.4075;
black-hawk-down;9;PvtJackson;"[ ""A perfect portrait of the bloodiest battle that the US army had fought ever since Vietnam War  It may lack depth in terms of characters, but on the whole it is definitely the best movie of the year for successfully describing the terror of war as well as mixed feelings accompanying every Delta soldier as they struggle to rescue their brothers-in-arms and go home with their families."" ]";0.4916666666666667;
looper;8;PvtJackson;"[ ""Looper is generally good in terms of both \""science-fiction\"" and \""crime thriller\"". The idea of time travel is obviously exciting, which in particular permits us to kill our own \""future guy\"" who is also a target for the mob, while thriller, crime genre has always been highly favored by even the most fastidious film critics. But that's all to say about Looper. It is far from as good as Minority Report ( sci-fi ) or goodfellas ( crime thriller )"" ]";0.4833333333333333;
saving-mr-banks;8;DrewtheDude85;"[ ""Saving Mr. Banks is an excellent film. It contains a lot of heart and soul and I really liked it. I liked the acting and locations in this film; Tom Hanks did a great job playing Walt Disney and Emma Thompson did a great job playing P.L. Travers. The only problem I have in this movie were some of the errors in this film like there are a few things you'll see in this movie that may have been after it's time like in the Disneyland scenes, I may have seen an attraction or two that may have not been open yet. But if you ignore those errors, you will find Saving Mr. Banks to be a very good movie that tells the story of the making of Mary Poppins."" ]";0.451;
captain-america-the-winter-soldier;9;DrewtheDude85;"[ ""Captain America: TWS is a very good action film and anyone who is a fan of action will undoubtedly enjoy this film. The Story was overall very good and captivating (even though I got confused by it at times, but that's probably my own fault) and there is also some good humor. There was also a lot of drama which was good, overall this film was excellent and while I still don't think that it's probably as good as The Avengers IMO, I do think that this film is better than Captain America: TFA in many ways. I recommend it."" ]";0.45125;
star-wars-episode-vii---the-force-awakens;8;grandpajoe6191;"[ ""Having been whistled up in the Star Wars universe myself when I was a child, I did a little pre-screening research on the film. Out of all the trailers and interviews that were done on the movie there was one in particular, an interview done with director J.J. Abrams, that stuck out to me. Having written the script himself with the help of Lawrence Kasdan, the mastermind behind arguably the best Star Wars film \""The Empire Strikes Back\"", Abrams said that the movie was going back to its original roots and the whole film was basically a faithful recreation of the space magic George Lucas had once shown us. After watching the film, I couldn’t agree more or less with his statement. “Star Wars: The Force Awakens” is an embodiment of the original trilogy (the good ones of course) that we all got to love and worship and, furthermore, is a testament to the fact that regardless of the crazy hype and commercialization the old sci-fi space adventure franchise still stands firm through the ages, enough for audiences of all shapes and sizes to thoroughly enjoy and be happy with. Let’s be clear with this; I’m not saying the movie breaks any new ground. Character and plot development is still a bit rushed and shallow, as well as glimpses of the infamous corny dialogue still stick out now and then during the course of the film. But then again, I can’t say this is a terrible film either. The heart-pumping action, the beautiful music, the grandiose scenery, and the endless imagination that lifted Star Wars to legendary heights are all there and flawlessly executed. Overall, \""Star Wars: The Force Awakens\"" is a true Star Wars film right down to the bone marrow, with all the pros and cons of its original predecessors. Director J.J. Abrams, like he did with the Mission Impossible and Star Trek series, blows off the dust of an old series and refines it  with a movie good enough for both Star Wars manias and average joes to run for a giddy old-fashioned space ride. Nothing new is discovered, but truly the force is still strong with this one. Enjoy!"" ]";0.1534585892144031;
mad-max-fury-road;6;grandpajoe6191;"[ ""\""Mad Max: Fury Road\"" boasts high-octane, adrenaline-rushing action with some strong intimidating visuals (the flame guitar guy, whew!). However, despite the eye-candy production, there really isn't anything special about the movie, really. The plot didn't have anything unique in store, the acting was good enough... but was it the movie THAT good to receive 8 and 9s across the board? In my eyes, \""Mad Max: Fury Road\"" is just a enjoyable blockbuster flick that just makes the bar rather than setting it."" ]";0.30670995670995665;
the-theory-of-everything;6;grandpajoe6191;"[ ""\""The Theory of Everything\"" tells the story of acclaimed professor Steven Hawking and his relationship between his wife Jane as she helps him fight through his illness till the very end. Although well crafted with some memorable scenes here and there, I did find the movie to lack the love chemistry between the main characters; I mean, isn't this the kind of romance movie you'd watch with your girlfriend? If so, get ready to get bored out of your mind."" ]";0.16927083333333334;
whiplash;9;grandpajoe6191;"[ ""Damien Chazelle's \""Whiplash\"" is a harrowing film that explores the complicated relationship between Andrew, a young jazz drummer who aspires to become the best, and Fletcher, a famed conductor who relentlessly pushes his students to their limits in search for his ideal musician. Actors Teller and Simmons, who played the roles of Andrew and Fletcher respectively, have shown quality performances as their strong jazz chemistry really left an impression; Simmons's oscar-winning performance as Fletcher is straight out deserved, as he performs his role with utter power and absolute dominance. The plot is packed with tension and drama as the pace consistently gains momentum until it all explodes with a refreshing bang at the movie's satisfying grand final act. With excellent visuals, superb directing, an engaging story supplied by masterful actors, \""Whiplash\"" definitely has its place in my top 5 movies of 2014."" ]";0.3801587301587302;
the-wind-rises;9;grandpajoe6191;"[ ""\""The Wind Rises\"" may be a little bit disappointing to be the swan song for a world-renowned creator such as Miyazaki himself, but nevertheless this is a beautiful film that fuses reality and fantasy with lush and vibrant colors and animation. Watch as the meaningful journey of Jiro Horikoshi flys to bring the power of dreams and perseverance, war and peace, love and farewell to audiences of all ages."" ]";0.16614583333333333;
x-men-days-of-future-past;8;grandpajoe6191;"[ ""\""X-Men: Days of Future Past\"" does tend to exaggerate some of its action sequences like it did in \""X-Men: First Class\"" as well as throwing in some questionable ex machines once in a while, but overall in my opinion this movie is the finest X-Men movie to date, as the stellar cast, a tricky but clever script, and the determination to refresh the movie series to its core really makes \""X-Men: Days of Future Past\"" a joy to watch."" ]";0.12666666666666665;
snowpiercer;8;grandpajoe6191;"[ ""The dystopian action thriller \""Snowpiercer\"" is a surprisingly well-crafted movie packed with unpredictable action and blood-boiling tension. Packed with some veteran performances from Tilda Swinton and John Hurt and a thorough script written with care, especially that of racism and class, this film is one you wouldn't want to miss watching."" ]";0.12222222222222222;
dawn-of-the-planet-of-the-apes;7;grandpajoe6191;"[ ""\""Dawn Of The Planet Of The Apes\"", despite the crude cliches and ex-machinas filling in for the film's overly exaggerated plot, is still a reasonably good summer blockbuster to enjoy thanks to some excellent performances from Andy Serkis and Gary Oldman."" ]";0.18333333333333332;
300-rise-of-an-empire;5;grandpajoe6191;"[ ""\""300: Rise Of An Empire\"" is a carbon copy of its enjoyable predecessor as it drains what made the first movie so great and injects overly-used slow mo sequences, droll before-battle pep talks, and excessive gore to suck out the juice in the brains of the audience."" ]";0.2;
the-wolf-of-wall-street;9;grandpajoe6191;"[ ""Veteran director Martin Scorsese does what he does best with \""The Wolf a Wall Street\"", a biography film about the rise and fall of genius wall street stockbroker Jordan Belfort, a character illustrated beautifully with god-like performances of Leonardo DiCaprio. Its typical Scorsese magic, as despite the long 3 hour running time the director manages to build the character of Jordan Belfort in-depth with careful meticulousness, from his normal man aspiring to complete the everyman's dream of hitting it big on Wall Street to the dissipation of his family and friends as he plummets down to earth with the weight of his lies and moral corruption pushing down on him hard. Its a grandiose movie that absorbs its audience with pleasure and excess and also manages to make them care about the man's story."" ]";0.12003968253968254;
silver-linings-playbook;8;grandpajoe6191;"[ ""\""Silver Linings Playbook\"", despite my fears of watching another boring rom-com movie, turns out to be a really funny and touching movie with excellent direction from David O Russell and the puzzling but interesting chemistry between Bradley Cooper and Jennifer Lawrence playing a huge role in bringing the good vibes to the film."" ]";0.3357142857142857;
les-miserables;7;grandpajoe6191;"[ ""There isn't anything 'original' with \""Les Miserables\""; if I was the director and I read the book, I could probably make a movie pretty similar like this one. However, the acting from the multifaceted cast and the songs are very strong as it was, for me, what really made the movie special in its own right. Overall a good enough movie to watch with your family."" ]";0.2775992063492063;
the-avengers-2012;7;grandpajoe6191;"[ ""I think this was my very first movie I watched in 2012 and I gotta say, I liked it. My initial concerns were about how the movie would live up to this enormous hype it had already built up and how Joss Whedon, a director I have never even heard of, would develop the personalities of multiple characters the movie has. Surprisingly enough, he exceeded my expectations in a good way. The story and dialogue was created with full blown Hollywood style treatment, but it was witty, enjoyable, and had a solid point. The character development was also strong, something that most directors cannot handle due to the fact that making 7 superheroes individually stand out is pretty difficult. But hey, Joss Whedon did it, so I give huge credit and respect for it. Anyways, long words short, in my opinion this was a good summer blockbuster, keeping constant of it's premise and living up to the hype. Recommended watching."" ]";0.20520421607378134;
the-artist;9;grandpajoe6191;"[ ""I was wondering the effectiveness of this movie. I mean, a black and white film in 2011? Robbing all the Golden Globes and SAG Awards? Something must be **** up, I thought. I was terribly wrong. \""The Artist\"" is possibly one of the greatest films ever created in the 21st century. It's almost flawless; the actors are downright perfect and the script is just **** optimistic and a poignant reminder of those old no-sound movies. It made me laugh and cry, and I don't do those stuff very often. I believe this deserves the best picture Oscar."" ]";0.2613888888888889;
chronicle-2012;8;grandpajoe6191;"[ ""It's been a while since I wrote reviews in metacritic, so I thought writing some would be good. Anyways, all could say of Josh Trank's \""Chronicle\"" is that it's very original. He diminishes those first-person camera angle problems by switching viewpoints (from Andrew's camera to other cameras, iphones, and even from the news chopper) which is clever. The script is well written and although the movie's kinda short it has it's sense of intensity most 2 hour movies can't even show off."" ]";0.2881944444444445;
