movieName;Metascore_w;Author;Summary;Abs_Increase
ferris-buellers-day-off;10;lasttimeisaw;"[ ""This is a rare variety of Hollywood teen farce has aged pretty well since its birth 25 years ago, written and directed by the late John Hughes, it is a witty and awful jolly comedy without any vulgar intention like AMERICAN PIE franchise and heralds Hughesâ"" ]";2
titanic;9;lasttimeisaw;"[ ""To admit this is the first time I have watched TITANIC from A to Z might hinder my credibility as a serious film critic (as least a self-acclaimed title), I have had several sketchy viewings during all these years but never conquered it entirely, then all of sudden it occurred to me a few days ago this is the biggest loophole in my filmography which I should mend ASAP, so after the lengthy 3 hour saga, now I could feel calmer in facing the numerous household names still stuck in my to-be-watched list and meanwhile other potential newcomers have never stopped emerging."", """", ""To be honest with oneself, no one could deny TITANIC is a monumental masterpiece, the visual stunts are so compelling and marvel me in its verisimilitude of reconstructing such a monolith setting (what"" ]";1
cabaret;9;lasttimeisaw;"[ ""A timeless classic! The musical numbers alone are superlative, even the 30-years-younger CHICAGO (2002, 8/10) pales in comparison. My very first Bob Fosse’s film, certainly the film gained its classic fame as the biggest winner of the Oscar in 1973, with 8 wins (including BEST DIRECTOR, LEADING ACTRESS and SUPPORTING ACTOR) and nearly usurped the BEST PICTURE trophy from THE GODFATHER (1972, 9/10), if it had been so,  it would be inflicted with much notorious backfire in the film history, but the film itself is an unerring gem among the undying musical genre, my first viewing is a thoroughly exultant experience, and cut and dried, it’s on my guilty-pleasure list."", """", ""It is my first Liza Minnelli’s film as well, the cabaret’s “international sensation” Sally Bowles, an innocuous vamp, Liza grants her role a disarming vitality and quaintly resembles a bobbed Anne Hathaway doppelgänger, not only radiates her grandeur in rendering her doughty-yet-alluring show tunes (she is born to do it), her portrayal of Sally personal life is equally (if not more) affecting, her doe-eyed naivety and unrestrained zest for life, for love, for fame elevate her character as the master of her own fate, her sacrifice may not gain concurrence from motley views of life, but a full obeisance to her independence and pluck is duly earned."", """", ""Michael York, behind his gawky effeminacy, plunges himself into a more contentious venture, Brian Roberts, his character’s bookish bi-sexual temperament is a provocative taboo on big screen (like since ever) and the implicit ménage  trois temptation (with Sally and the suave Helmut Griem, whose gentrified debonair is utterly irresistible) has been simmering to the perfect temperature, undergirds a manifestation of initiating a sex-liberation wave (germane to the 70s era while against the Nazi-rising milieu in the film)."", """", ""There is a subplot dealing with a bromide of a down-and-out German guy’s infatuation with a rich but prude Jewish girl, there is an ironic twist near the end, however never quite manages to steal the limelight from Sally and Bri, but Marisa Berenson’s placid performance is still worthy of backslapping (the dichotomy of women’s images is a trifle stale though)."", """", ""Joel Grey, as the so called “Master of Ceremonies” and won an Oscar (against three fellows from THE GODFATHER), serves only as the performer in the film, no clear attachment with the plot, his musical set pieces are burlesque, risqué but entertaining to the bone, with a strenuous mimicry of German accent, it is a hard-earned honour, although I don’t understand how Al Pacino could lose at any rate."", """", ""The film drops its curtain right before the prevalence of  Nazi’s atrocity, the ending with the vague reflections of Third Reich audience occupying the place has sublimated the materialistic razzle-dazzle onto an eerily ominous scope which the film has no interest to tamper but the audiences will intuit what will happen next. A great windup, neat and potent!"" ]";1
amadeus;9;lasttimeisaw;"[ ""From the most important contemporary Czech director Milos Forman, whose sole work I have watched before is THE PEOPLE VS. LARRY FLYNT (1996, an 8/10) and he has gotten hold of two Oscar wins for BEST DIRECTOR, one for this film and another one for ONE FLEW OVER THE CUCKOO"" ]";1
blade-runner;9;lasttimeisaw;[];1
the-secret-in-their-eyes;9;lasttimeisaw;"[ ""Catching up on Oscar-calibre films which I have yet to watch, I stumble upon this Argentinian crime-drama, a fair upsetter won BEST FOREIGN LANGUAGE FILM over more critically acclaimed THE WHITE RIBBON (2009, 8/10) and A PROPHET (2009, 9/10), in its own strength, THE SECRET IN THEIR EYES is a powerful and near-perfect dissection on how people are stuck in the prison of their own memories, “you will end up with only memories” is a vital sentence imprinted deeply in audience’s mind."", """", ""read rest of my review on my blog, google cinema omnivore, thanks"" ]";1
hugo;9;lasttimeisaw;"[ ""This year a blossoming homage to the genesis of the film industry has progressed into raptures for film aficionados and filmmakers (two frontrunners of the imminent Oscar, THE ARTIST, which I have yet to watch, and HUGO have aimed at B&W silent film and innovator Georges MÃ©liÃ¨s respectively). Martin Scorsese stews this $170,000,000 budgeted 1930s Paris Gare Montparnasse train station adventure feature in an almost immaculate way, and for the generation which may not be stupefied by Georges MÃ©liÃ¨sâ"" ]";1
take-shelter;9;lasttimeisaw;"[ ""This doomsday psycho-drama is a precious gem from indie director Jeff Nichols, boosted by an extraordinary acting impetus from Michael Shannon and Jessica Chastain pair. A working class point-of-view towards the Armageddon has been laboriously concocted through an ordinary worker's psychosis degeneration and the clashes between him and the mundane world. Comparison with last yearâ"" ]";1
life-of-pi;10;lasttimeisaw;"[ ""I cannot overpower my very own purist’s paranoia, I watched this film in theater a few days earlier in dubbed Italian (my Italian level is so-so), I could not reckon that any film has been officially “viewed” until I have watched it in its original form, so thanks to the latest BluRay copy, finally I am able to hail LIFE OF PI as my current favorite film of 2012! Although the film literally is the biggest Oscar winner this year (4 wins out of 11 nominations) and Ang Lee now is up among the pre-eminent echelon of a multi-times BEST DIRECTOR winner, the unfulfilled appreciation (from the prim Academy) still seethes inside, the BEST PICTURE/BEST DIRECTOR division has stuck Ang Lee and his teams twice is unprecedentedly jaundiced. Back to the film itself, I am pretty oblivious to Yann Martel’s source novel, but Ang Lee and his crew has deserved every single accolade because the outcome is simply astounding and mind-blowing, from the exotic Indian zoo, the palette of liveliness and quietude seeps directly to viewer’s mind curves, then, the visual stunts take over, the minutiae are constructed into an inconceivable kaleidoscope of sea survival (ship-wrecking, heaven-like sea surface, carnivore island)."", """", ""The allegorical storyline which can be laconically recapitulated as “the story between a boy and a Bengal tiger floating on the sea”, also goes beyond one’s mundane imagination, the liaison between Pi and Richard Parker the tiger has gone through a minute incubation-to-transition cliffhanger (technically it is not a cliffhanger since we all know the ending beforehand, but the two-hander just conjures magic spell upon us, which is mesmerizing, eye-popping and heart-warming), with the brilliant first-time actor Suraj Sharma interacting viscerally with the green screen (an almost entirely CGI-germinated tiger heralds the auspicious retirement of all the animal cast, as long as money continues investing, leave those poor animals in peace and so are the ever-engaging animal activist). Both Suraj and Irrfan Khan (the adult Pi) deserve more recognition from their meticulous and soul-searching performances.  Being an agnostic, Pi’s eclectic belief in all disparate religions doesn’t register enough contention to me, and also it is claimed to be “a story could make one believe in God”, the film is marvelous in keeping its ambivalence so determined that either of the interpretation could find its recipients piously and without arousing any palpable repulsion even we all know how parochial people could react as far as “religions”is concerned. The film is a flawless eye-candy and soul-remedy, multiple viewings are highly-recommended, it is a conscientious masterstroke to corroborate Ang Lee’s versatility in mastering his universe of filmmaking (no genre boundary at all), commixed his oriental philosophy with western first-class craftsmanship and esprit de corps, Ang Lee can swagger further on the path of a true auteur, not only among his peers, even for a holistic view in the film history, his trail can be indelible."" ]";2
before-midnight;9;lasttimeisaw;"[ ""We only know Jesse and Céline for two days in their lives (BEFORE SUNRISE 1995, 8/10; BEFORE SUNSET 2004, 9/10), but as if we have invested too much already, so at the beginning of this third chapter, when we realize that they have been living together for all these 9 years by now and even had two twin girls, is it a truly romantic fairytale comes true or the day-to-day reality has eroded the edges and corners and exhausted their acuity in dissecting what they are really thinking? The triad of Linklater, Delpy and Hawke will present us a most satisfactory delight delving into these two soul mates’ current states of mind."", """", ""Again tracing a one-day journey of the couple in their last day of their summer getaway in Southern Greece, in the morning, they see off Jesse’s son Hank in the airport, who has to return to his mother, Jesse’s ex-wife, which aggravates Jesse’s paternity guilt for being absent in most of Hank’s life, elicits an idea to move back to USA with the entire family, while they’re driving back from the airport, the discord occurs when Céline rebuffs the connotation of the unscheduled idea, and a time-bomb is ticking, the first long take in the car signals as a gambit to re-ignite the audience members’ coveted interest in their love story."", """", ""Under the magnificent scenery of this ancient land, their farewell lunch with friends carries a casual spirit but the small talk is overflowing with engaging and emotively touching insights about love from different ages and experiences, Jesse and Céline are mainly listeners, but Delpy manage to pull off a splendid ad lib mimics a brainless bimbo flirting with Jesse the writer and talking about Romeo and Juliet, so hilarious and this is a patina when they are surrounded with other people."", """", ""Later, they leave their daughters to friends and head to a hotel since they are treated to have a private evening in a hotel to culminate their last night there (with a couple massage coupon), clearly it is a god-given opportunity for them to express real thoughts without the interference of their children. Meandering in the town, everything is like deja vu, they are like two people deeply in love with each other and the sexual attraction is simmering when they reach the room, but their carnal engagement is interrupted by a pivotal call from Hank, their following tête-à-tête turns sours when Céline bickers about her sacrifice in the relationship and the frustration of parenting, utters discontent and spurns the prospect of moving to USA, meanwhile Jesse appears to be the calm one, but his passive-aggressive strategy fails to appease her and they begin to blame faults to each other, until Céline storms out and leaves the deal-breaker  I don’t love you anymore”. From convivial to acrid, it is so spot-on in everyman’s world, then the ending plays a nice trick on the ambivalent possibilities of their future, fingers-crossed a fourth one will come another 9 years later and it will be worth the wait."", """", ""Thumbs up to both Hawke and Delpy’s scintillating acting, their resounding rapport and flawless two-hander should have earned some serious awards recognition apart from their effervescent script, good luck for a third time, Delpy could be a dark horse to bag a BEST LEADING ACTRESS nomination, and she is also French, Oscar voters, remember?"" ]";1
bridegroom;9;lasttimeisaw;"[ ""A bona fide tearjerker! I am oblivious of Shane’s youtube videos, which kickstarts this feature-length picture, but the film needs to be seen by literally everyone, whether for or against the same sex equity, it is deeply heartfelt and perspicaciously educational, I think whoever as long as hold a small fraction of mercy in their hearts, regardless of their religious convictions, after watching this film, it will be a game-changer for the prejudiced and a touchstone for a mightier love above social class, creed, race, color and gender."", """", ""The documentary is about Shane and Tom, a gay couple being together for 6 years until Tom died of falling from a rooftop accidentally in 2011 (aged 29), the interviewers (Shane, his families and their friends) chart the story of their lives from Shane’s childhood, his bullied school days and his struggling self-identification of being a gay man while Tom attended a first-rate high school albeit his blue-collar family background, and turned out to be an all-american boy, handsome, macho, outgoing, a role model excels both in sports and academy. After fate let them meet in L.A., their relationship epitomizes the most desiring lover-cum-soulmate perfection one could ever dream of, which causes the ensuing tragedy far more harrowing to bear."", """", ""A familiar juncture for almost every gay person, the coming-out process, particularly to Tom’s parochial family, it was an incubus, which sheerly contrasts with the understandable reaction from Shane’s family, however, it is all evinced secondhand by Shane and their friends, since Tom’s family adopted the silent treatment to the invitation of the production team to be part of the film, surely we will never know the story from the other side, which is a minor glitch in this otherwise viscerally affecting picture."", """", ""Nevertheless, a more contingent fact is how the young soul’s passing provoked much more indignation when Tom’s family flagrantly shut down Shane out of the funeral and expunged their entire life together as if it never happened, it is an atrocious transgression towards our very basic canon as human beings, it is love unites us, differentiates us and sublimates us from other creatures on earth, and propels our society to move on to a better world, so even though BRIDEGROOM (which is Tom’s family name, what a pertinent one!) is hardly a ground-breaking piece of art work (SMS interaction, video footages, travel photography is all it has to render the narrative aside common interviews with apt editing), it is a film should not be missed and I do hope the cost of a young life can be at least in some level compensated by awakening more conservative minds to evaluate the world with a more humane mind and encouraging more individuals to embrace their true color. Also, best wishes to Shane, you are lucky enough to experience true love and don’t lose hope, live long and prosper!"" ]";1
12-years-a-slave;9;lasttimeisaw;"[ ""It takes an emotional toll to watch Steve McQueen’s poignant 2013 BEST PICTURE winner of the Academy awards, adapted from the autobiography of Solomon Northup, a free black man is sold into slavery for 12 years in the antebellum United States."", """", ""As the third feature film from UK auteur Steve McQueen (after HUNGER 2008, 7/10 and SHAME 2011, 9/10), 12 YEARS A SLAVE is a metamorphic achievement for his director competence, comes to grips with the grave source material, and transposes the text into a visually stupefying and inwardly resounding piece of cinematic treasure, compels audience to vicariously undergo the trials and tribulations of Solomon (Ejiofor) and his fellow black slaves, and to corroborate us the price of freedom is hard-won merely 150 years ago, we might say we have far progressed above the stupidity and narrow-mindedness portrays among the white folks in the film, and slavery is rather an antiquated concept, however, whether this self-aware moral improvement has reached its end of line, or 150 years later, when we our progeny harks back, we will be plainly as anachronistic as those pathetic, barbarous and abominable predecessors."", """", ""I digress too far, but I do intend to reiterate the value of this film, not because slavery is obsolete so we contemporaries have no urgency to watch it, in fact, we are in absolute obligation to reflect on those historic iniquity to alert ourselves not to recommit the same error, which we may agree, a large portion of people are treading the same water in the present climate."", """", ""Now, back to the film, McQueen and his team, in particular the long-time DP Sean Bobbitt, are luxuriating in their meticulous composition of each shot, the long-shot of Solomon hung on a tree struggling to life with his toes tipped on the ground while no one care or dare to set him loose (in the background, several slave kids frolicking around) is strikingly daunting to behold, whether white or black, their mentality is ingrainedly impaired; intermittently, the breathtakingly picturesque topographic shots of the southern land (the bayou, the cotton field or the windy woods) seamlessly transition the chronicle into another twist or perturbation."", """", ""The central dramatis personae is electrifying to the core, Ejiofor whole-heartedly radiates in this once-in-a-lifetime opportunity and every single take lingers on his bubble-eyed physiognomy is unimpeachably soul-stirring, his immaculate dedication oozes Solomon’s despair, angst and persistence. Fassbender, McQueen’s fixed leading man, lends himself to the meaty villain role, the outright racist plantation owner Edwin Epps,the dichotomy of his libido-driven infatuation with the young slave girl Patsey (Nyong’o) and the iron-clad truth she will never be completely his possession, is the centrepiece which culminates in an appalling whipping sequence where McQueen unbendingly fixates on Patsey’s heartbreaking wail and the horrid lacerations, Nyong’o is no doubt meritorious for her Oscar-win with her debut, her final scene when seeing off Solomon to his freedom with both yearning (for herself) and felicity (for him) has been encapsulated with pitch perfect verisimilitude."", """", ""Further on, besides those three Oscar-nominated lucky ones, it is a handful of under-praised but equally memorable performances, Sarah Paulson (Mistress Epps), Alfre Woodard (Mistress Shaw) and Adepero Oduye (Eliza) all steal the limelight when their meagre screen-time is on, Paulson is brilliant with her glacial frigidity and sharp callousness, Woodard nails the most ambiguous role in the film with her composed utterance and Oduye brings about a burst of volcanic theatricality in her tête-à-tête with Ejiofor. By contrast, the other male side players are less prominent, Pitt is the ultimate messiah for Solomon, but reservedly underlit, and Paul Dano is on the verge of being typecast as someone either compulsively creepy or maddening annoying."", """", ""John Ridley’s stern screenplay (the third Oscar win for the film) prunes the prolonged odyssey into a number of key chapters, carves out a clarified narrative arc while enlivening the jaded souls with terse lines full of understated connotations; Hans Zimmer’s score mingles with the movie’s awe-inspiring presentation of a history should never be forgotten, tallies with the credence of viewers’ spontaneity, unobtrusive, but superbly competent alongside this epic voyage, if you can stick to the very end, it is a film can sublimate your moral sentience, and Steve McQueen is a filmic wizard of sublime gravitas, at the age of 45, we can optimistically hope that his best has yet to come."" ]";1
interstellar;9;lasttimeisaw;"[ ""By no means I am a scientific geek, my days of tackling with science has been fortuitously truncated years ago, so putting aside all these heatedly discussed astrological concepts, to be specific, wormhole, black hole, tesseract, the fifth dimension and time travel relativity (thanks to the enormous contribution of Dr. Kip Thorne), INTERSTELLAR is a potent analogue of Nolan’s previous stunning visual and conceptual extravaganza INCEPTION (2010, 9/10), which looks deep into the bizarre inner activity within one’s dream realm, but this time, Nolan’s scope is going the opposite direction, extended outwardly to the unknown universe and based on a more perceivable future of the earth’s imminent doom (we are all the culprits of various degrees in this scenario), it is not just an awe-inspiring outer-space odyssey, in its dual storyline, the life on earth is phenomenally linked by human’s primitive force - love."", """", ""continue reading my review on my blog: google cinema omnivore, thanks"" ]";1
kingsman-the-secret-service;9;lasttimeisaw;"[ ""A weekend cinema-outing of this slick UK spy actioner which is a surprisingly excellent revamped Bond-esque espionage genre fare inundated with polished set pieces and beguiling plot twist albeit the whole movie is ground in the same old saving-the-world-from-a-supervillain mode."", """", ""Director Matthew Vaughn has been constantly on my radar as one of my favourite genius in commercial filmmaking, I have watched all his previous four features, from LAKE CAKE (2004, 6/10), X-MEN: FIRST CLASS (2011, 7/10),  to my absolute guilty-pleasure treasures STARDUST (2007, 9/10) and KICK-ASS (2010, 9/10). His latest is by all means a thoroughly engaging adventure with unconventional violence and visual gags, which all delightfully surpass viewer’s expectation."", """", ""keep reading my review on my blog, google: cinema omnivore."" ]";1
moonlight-2016;10;sanyrub;"[ ""Exceptional cinematic achievement that captures so many lives, emotions and feelings anyone can relate to in such a simple way. Extraordinary sensibility, maturity and editing, the picture goes through 3 different phases in the life of a young man going through a lot of things. After each one of those phases ends it leaves you wanting more, to know more about that child and getting more of that particular actor. The casting is also on point and every actor carries the story and the mannerisms of this kid so well. It´s one of those films that keeps growing on you more and more even after watching and stays days in your mind. Somehow it is not sad, it is quite pleasant and peaceful. It´s life. Probably the most unquestionable win for best picture at the Oscars in years since the film hasn´t got a single flaw. Total agreement with the critics average and that outstanding 99/100. A MUST see."" ]";1
mad-max-fury-road;10;sanyrub;"[ ""Best blockbuster  and film in general of 2015 so far (will be very difficult for any other film to top it). Best action film in years. Probably in as many years as I can remember. It is pretty much a perfect film with a lot of creativity, stunning visuals, stunning cinematography, action-packed, incredibly fast-paced and a great story which doesn´t need a lot of dialogue to move forward the events. One thing I love about it is the personality of the film, in a big part achieved thanks to its two lead actors: Tom Hardy and Charlize Theron (the true star of the film) are outstanding here. So much restraint, so much passion, so much love for their craft, perfect performances, the type of roles that become iconic. People need to see this, it is beyond words. In this world of sequels which become repetitive and too childish, Mad Max and last years Dawn of the Planet of the Apes, have proved you can make it right: top quality and commercial appeal. Incredible from the first scene to the hair-raising last one."", ""An almost perfect 9.5 from me."" ]";1
brokeback-mountain;10;sanyrub;"[ ""Brokeback Mountain is one of the biggest classics of the 00´s decade. And Lee is a great director not afraid of doing such different films, and with this one, he is at his best. The pace is perfect to make you feel the loneliness people in the Mid West around the 60´s-70´s used to feel, and especially the characters here presented. Once the film ends, you can´t get out of your head this impactful movie. Cinematography is crazy good. And the acting... so real, perfect and raw. Jake Gyllenhaal does a great job, Anne Hathaway is great in her little role, Michelle Williams is all kinds of outstanding... but Heath Ledger... a performance that defines a career. I would have given the oscar to him that year. Incredible what he did with his character. I give the movie a 10 because there´s no flaw one can find. Crash winning over Brokeback and Munich was the biggest joke in the Academy´s history. At least it got 3 including best director."" ]";1
toy-story;10;grandpajoe6191;[];1
frozen-2013;9;Official;"[ ""Before watching the movie, I knew this was going to be great. And it was. The film is hilarious, touching, beautiful and it touches on many different aspects. It's a very fast-paced and enjoyable animation. Oh, and the soundtrack and songs are just incredible."" ]";2
the-hobbit-the-desolation-of-smaug;9;Official;[];2
despicable-me-2;8;Official;[];1
pacific-rim;9;Official;"[ ""\""Pacific Rim\"" has perhaps some of the greatest action I have ever seen. The use of 3-D is fantastic, the CGI and visuals were stunning, the acting is brilliant and both the story and script are intelligently crafted. This truly is a intense, epic, visually-stunning spectacle."" ]";2
argo;9;Official;[];2
the-amazing-spider-man;8;Official;"[ ""I'm actually really pleased with this reboot. It's darker than the original Sam Raimi movies, it's not as cheesy, and I would say this movie comes in match with \""Spider-Man 2\"". However, I did not find the lizard too interesting - it could have been better developed."" ]";1
ip-man-2;8;Official;[];1
mission-impossible---ghost-protocol;8;Official;"[ ""I haven't seen any of the previous \""Mission: Impossible\"" films but I can tell you that \""Ghost Protocol\"" is amazing. It's thrilling, breathtaking and intelligent. Tom Cruise fits perfectly well as his role here, and probably is one of his most fitting roles, if you don't count \""Minority Report\""."" ]";1
despicable-me;8;Official;[];1
the-hurt-locker;8;Official;"[ ""Personally, I don't feel that \""The Hurt Locker\"" deserved all those Oscar awards and that it's slightly overrated but I don't deny that it's a really damn good film. It's tense, complex, violent and action-packed. The story is well planned and written and the acting is fabulous."" ]";1
toy-story-3;10;Official;"[ ""This is a rare second sequel that beats both its predecessors and it's just awesome. The film is darker compared to the previous two, but I've got nothing to complain. It was intense, deeply emotional, and it was kinda sad. This movie is my favorite Pixar film of all time."" ]";3
moon;8;Official;[];1
the-dark-knight;10;Official;"[ ""Absolutely stunning. This sequel is dark, sophisticated, and is better than its predecessor. It has emotion, powerful and superb acting, and impressive visuals. This film is, beyond any doubt, a must-see. Oh, and the Joker in the movie, is beyond fantastic."" ]";3
ratatouille;9;Official;"[ ""\""Ratatouille\"" is a classic Pixar animation and a fantastic accomplishment. The animation is brilliant (as usual), it's well-directed, the script is intelligent and is consistently humorous. Pixar movies are textbook examples on how to make films for both kids and adults."" ]";2
batman-begins;8;Official;[];1
harry-potter-and-the-goblet-of-fire;8;Official;[];1
